Open,High,Low,Close,Volume,TradingDate
18457.0,18624.0,18157.0,18557.0,3721100,2021-01-04
18624.0,18824.0,18424.0,18524.0,2719500,2021-01-05
18657.0,19158.0,18424.0,18691.0,3750900,2021-01-06
18691.0,19158.0,18557.0,18924.0,3874900,2021-01-07
19024.0,19191.0,18757.0,19024.0,4106300,2021-01-08
19024.0,19191.0,18691.0,18824.0,3098700,2021-01-11
18924.0,18924.0,18223.0,18691.0,2537300,2021-01-12
18757.0,18824.0,18390.0,18424.0,4604600,2021-01-13
18424.0,18557.0,18190.0,18457.0,2198600,2021-01-14
18691.0,19625.0,18624.0,19158.0,8547500,2021-01-15
19692.0,19692.0,19158.0,19225.0,4421500,2021-01-18
19358.0,19525.0,17890.0,18657.0,4912800,2021-01-19
18691.0,18891.0,17355.0,18624.0,3656500,2021-01-20
18691.0,19291.0,18424.0,19024.0,3197000,2021-01-21
18891.0,19024.0,18457.0,18490.0,2745500,2021-01-22
18490.0,18524.0,18157.0,18223.0,1988200,2021-01-25
18157.0,18223.0,17355.0,17823.0,2712200,2021-01-26
17355.0,17756.0,16621.0,16755.0,2839900,2021-01-27
15587.0,16221.0,15587.0,15587.0,4594000,2021-01-28
14685.0,16655.0,14685.0,16655.0,3775400,2021-01-29
16955.0,17322.0,15987.0,16254.0,1379600,2021-02-01
16254.0,17022.0,16020.0,16888.0,1646100,2021-02-02
17222.0,18056.0,17088.0,17890.0,1899400,2021-02-03
17956.0,17956.0,17022.0,17689.0,1119000,2021-02-04
17489.0,18123.0,17489.0,17823.0,1117600,2021-02-05
17823.0,17956.0,16688.0,17489.0,2133900,2021-02-08
17622.0,18023.0,17289.0,17923.0,1529600,2021-02-09
18023.0,18490.0,17956.0,18490.0,1709300,2021-02-17
18557.0,18590.0,18290.0,18590.0,1481100,2021-02-18
18490.0,18624.0,18357.0,18490.0,1768000,2021-02-19
18657.0,19091.0,18524.0,18624.0,3988300,2021-02-22
18724.0,18757.0,18424.0,18657.0,2963500,2021-02-23
18691.0,18757.0,17890.0,18290.0,1909800,2021-02-24
18290.0,18357.0,18023.0,18257.0,1739500,2021-02-25
18023.0,18490.0,17956.0,18390.0,1406800,2021-02-26
18691.0,18824.0,18557.0,18691.0,3672800,2021-03-01
19024.0,19992.0,18791.0,19859.0,17188900,2021-03-02
19959.0,20693.0,19825.0,19859.0,5889600,2021-03-03
19892.0,19959.0,19024.0,19124.0,4032100,2021-03-04
18824.0,19358.0,18490.0,19024.0,6168400,2021-03-05
19258.0,19492.0,18958.0,19024.0,4699200,2021-03-08
18824.0,19225.0,18557.0,18958.0,3367100,2021-03-09
18991.0,19124.0,18691.0,18991.0,2567700,2021-03-10
19191.0,19258.0,19024.0,19091.0,5008800,2021-03-11
19124.0,19458.0,19058.0,19091.0,5823500,2021-03-12
19158.0,19358.0,19124.0,19158.0,4597200,2021-03-15
19225.0,19291.0,18824.0,19024.0,3011500,2021-03-16
18958.0,19225.0,18857.0,19158.0,3656000,2021-03-17
19358.0,19492.0,19158.0,19358.0,5781900,2021-03-18
19358.0,19525.0,19124.0,19291.0,6947000,2021-03-19
19325.0,19492.0,19158.0,19225.0,3471700,2021-03-22
19158.0,19291.0,18691.0,18891.0,4377900,2021-03-23
18557.0,18824.0,17956.0,17990.0,6669100,2021-03-24
18157.0,18323.0,17856.0,17956.0,5221400,2021-03-25
17856.0,17956.0,17155.0,17823.0,5041800,2021-03-26
18023.0,18290.0,17923.0,18290.0,2164500,2021-03-29
18357.0,18557.0,18290.0,18557.0,2611900,2021-03-30
18557.0,18724.0,18457.0,18590.0,2172200,2021-03-31
18590.0,18791.0,18524.0,18691.0,4129700,2021-04-01
19024.0,19225.0,18824.0,18891.0,3197300,2021-04-02
19091.0,19158.0,18857.0,18958.0,3468800,2021-04-05
18924.0,18958.0,18691.0,18791.0,5698500,2021-04-06
18791.0,19492.0,18757.0,19225.0,8769900,2021-04-07
19358.0,19458.0,19158.0,19291.0,4230200,2021-04-08
19358.0,19358.0,19091.0,19225.0,2837100,2021-04-09
19425.0,19458.0,19225.0,19458.0,7405300,2021-04-12
19592.0,20493.0,19558.0,19759.0,13381000,2021-04-13
19658.0,19859.0,19358.0,19792.0,4211400,2021-04-14
19825.0,19825.0,19225.0,19225.0,5927900,2021-04-15
18958.0,19024.0,18323.0,18490.0,9357800,2021-04-16
18691.0,18891.0,18290.0,18891.0,4273500,2021-04-19
18991.0,19058.0,18457.0,18557.0,4568500,2021-04-20
18557.0,18991.0,18023.0,18023.0,4524000,2021-04-22
18357.0,18691.0,17890.0,18691.0,3974200,2021-04-23
18691.0,18691.0,18090.0,18123.0,2466600,2021-04-26
18123.0,18323.0,17956.0,18090.0,1963700,2021-04-27
18023.0,18323.0,17956.0,18190.0,2403800,2021-04-28
18323.0,18557.0,18157.0,18290.0,6020100,2021-04-29
17990.0,18691.0,17956.0,18691.0,4210300,2021-05-04
18791.0,19225.0,18724.0,19124.0,5462800,2021-05-05
18991.0,19291.0,18757.0,18791.0,3732900,2021-05-06
18691.0,19725.0,18624.0,19425.0,11689700,2021-05-07
19425.0,20760.0,19358.0,20760.0,14127900,2021-05-10
21094.0,21494.0,20693.0,20693.0,9406500,2021-05-11
20560.0,21327.0,20426.0,21327.0,7670600,2021-05-12
21361.0,21694.0,21027.0,21027.0,8058500,2021-05-13
21227.0,21494.0,21027.0,21327.0,7273700,2021-05-14
21427.0,21961.0,21427.0,21761.0,6851800,2021-05-17
21761.0,21761.0,21094.0,21427.0,6628100,2021-05-18
21427.0,21961.0,21427.0,21961.0,6049900,2021-05-19
22028.0,22395.0,21928.0,22028.0,6273700,2021-05-20
22028.0,22362.0,21794.0,22028.0,6207600,2021-05-21
22028.0,22362.0,21761.0,22262.0,7400000,2021-05-24
22429.0,23597.0,22395.0,23430.0,6027300,2021-05-25
23463.0,24031.0,23430.0,23997.0,7918500,2021-05-26
23897.0,24031.0,23029.0,23430.0,7594100,2021-05-27
23430.0,24097.0,23263.0,24097.0,6656000,2021-05-28
24097.0,25032.0,24097.0,24999.0,3844900,2021-05-31
25766.0,25766.0,24999.0,25232.0,6046600,2021-06-01
24698.0,25132.0,24431.0,24832.0,5058600,2021-06-02
24999.0,25566.0,24832.0,25533.0,5342100,2021-06-03
25366.0,27302.0,25032.0,26033.0,4796400,2021-06-04
25366.0,25900.0,24364.0,24832.0,5115100,2021-06-07
24698.0,25032.0,23096.0,23363.0,5103800,2021-06-08
23363.0,24298.0,22696.0,23964.0,5857500,2021-06-09
24364.0,24631.0,23530.0,23530.0,3283700,2021-06-10
23697.0,24698.0,23530.0,24431.0,5631100,2021-06-11
24698.0,24698.0,23897.0,24231.0,3289600,2021-06-14
24231.0,24364.0,23697.0,24031.0,3629500,2021-06-15
23697.0,24431.0,23363.0,23764.0,5993800,2021-06-16
23363.0,24031.0,23163.0,23630.0,3953600,2021-06-17
23897.0,23997.0,23664.0,23697.0,2732200,2021-06-18
23931.0,24097.0,23497.0,23530.0,3684200,2021-06-21
23530.0,24031.0,23497.0,23664.0,3665200,2021-06-22
23964.0,24064.0,23730.0,23864.0,2609800,2021-06-23
24031.0,24097.0,23664.0,23797.0,2873600,2021-06-24
23797.0,23964.0,23530.0,23964.0,2778100,2021-06-25
24231.0,25132.0,23897.0,25132.0,11082500,2021-06-28
25366.0,25366.0,24631.0,24898.0,4886800,2021-06-29
24832.0,24965.0,24498.0,24531.0,2831800,2021-06-30
24565.0,24832.0,24131.0,24832.0,5441400,2021-07-01
25099.0,25299.0,24832.0,25199.0,5091100,2021-07-02
25399.0,26233.0,25266.0,26233.0,8382000,2021-07-05
26233.0,26367.0,24398.0,24398.0,8022400,2021-07-06
24631.0,25232.0,23764.0,25032.0,5701400,2021-07-07
24999.0,25966.0,24832.0,25199.0,5774600,2021-07-08
24965.0,25633.0,24031.0,24698.0,4759000,2021-07-09
24698.0,24698.0,22996.0,23397.0,7554300,2021-07-12
23697.0,23797.0,22696.0,23230.0,3263000,2021-07-13
23163.0,23363.0,21961.0,22028.0,5212700,2021-07-14
22028.0,22996.0,21761.0,22495.0,3272200,2021-07-15
22896.0,22963.0,22562.0,22629.0,1930300,2021-07-16
22162.0,22162.0,21060.0,21060.0,5202600,2021-07-19
21227.0,22028.0,20960.0,22028.0,7650000,2021-07-20
22162.0,22362.0,21961.0,22095.0,5750900,2021-07-21
22095.0,22596.0,21828.0,22596.0,6179900,2021-07-22
22228.0,22529.0,22028.0,22028.0,6293200,2021-07-23
21694.0,22329.0,21661.0,21961.0,7083400,2021-07-26
22295.0,22896.0,22162.0,22762.0,9483900,2021-07-27
22629.0,23163.0,22562.0,22829.0,5651400,2021-07-28
22929.0,23363.0,22929.0,23163.0,7422900,2021-07-29
23363.0,23563.0,23163.0,23363.0,5460700,2021-07-30
23163.0,23430.0,22996.0,22996.0,6590300,2021-08-02
23029.0,23263.0,22762.0,23063.0,3921100,2021-08-03
23163.0,23830.0,23130.0,23430.0,9425000,2021-08-04
23697.0,23964.0,23430.0,23964.0,4879300,2021-08-05
24097.0,24231.0,23664.0,23697.0,3867300,2021-08-06
23563.0,23964.0,23330.0,23964.0,3632200,2021-08-09
24164.0,24164.0,23630.0,24031.0,3413600,2021-08-10
24164.0,25032.0,23897.0,24698.0,13559700,2021-08-11
24631.0,24765.0,24298.0,24298.0,3106500,2021-08-12
23764.0,24364.0,23764.0,24298.0,3475900,2021-08-13
24298.0,24865.0,24031.0,24765.0,6804300,2021-08-16
25266.0,25266.0,24698.0,24932.0,4819100,2021-08-17
24898.0,25099.0,24698.0,24865.0,2954100,2021-08-18
24732.0,24765.0,24331.0,24498.0,3203000,2021-08-19
24498.0,24498.0,22829.0,23363.0,6442500,2021-08-20
23096.0,23497.0,22562.0,22562.0,4981600,2021-08-23
22529.0,22829.0,22429.0,22729.0,3121900,2021-08-24
22729.0,23296.0,22429.0,23296.0,3063600,2021-08-25
23363.0,23463.0,22762.0,22762.0,3452600,2021-08-26
22462.0,23196.0,22329.0,22696.0,2387500,2021-08-27
22896.0,23263.0,22662.0,23130.0,2214900,2021-08-30
23163.0,23363.0,22696.0,22762.0,1914500,2021-08-31
22696.0,23029.0,22629.0,22829.0,2358900,2021-09-01
23263.0,23497.0,22929.0,23230.0,4847800,2021-09-06
23296.0,24364.0,23230.0,24298.0,11320500,2021-09-07
24364.0,24665.0,24031.0,24097.0,6472700,2021-09-08
24097.0,25299.0,23931.0,25232.0,12528300,2021-09-09
25366.0,25699.0,24965.0,24965.0,7832100,2021-09-10
25032.0,25833.0,24898.0,25432.0,6969300,2021-09-13
25099.0,25633.0,25065.0,25099.0,6127000,2021-09-14
25032.0,25699.0,24698.0,25533.0,6953500,2021-09-15
25699.0,26233.0,25499.0,25800.0,5226100,2021-09-16
25900.0,27235.0,25766.0,27235.0,11835000,2021-09-17
27368.0,27902.0,26367.0,26768.0,8941100,2021-09-20
26434.0,26968.0,26367.0,26701.0,6615400,2021-09-21
26901.0,26901.0,26233.0,26768.0,4172000,2021-09-22
27001.0,28036.0,26434.0,27735.0,17971500,2021-09-23
27836.0,28103.0,27569.0,27769.0,9113500,2021-09-24
27836.0,27836.0,26701.0,26701.0,6183100,2021-09-27
26367.0,27168.0,26100.0,27168.0,5440500,2021-09-28
26901.0,27702.0,26901.0,27635.0,8107000,2021-09-29
27435.0,27936.0,27435.0,27769.0,6327900,2021-09-30
27936.0,28503.0,27669.0,28436.0,14912000,2021-10-01
28570.0,28637.0,27702.0,28036.0,13232300,2021-10-04
28236.0,28436.0,27769.0,28370.0,9289100,2021-10-05
28370.0,28803.0,27969.0,28236.0,8403600,2021-10-06
28336.0,28336.0,27902.0,28036.0,4681500,2021-10-07
28503.0,28503.0,27902.0,28136.0,3133300,2021-10-08
28103.0,28770.0,28069.0,28770.0,4961600,2021-10-11
28837.0,28904.0,28503.0,28503.0,1868600,2021-10-12
28370.0,28570.0,28236.0,28303.0,2308600,2021-10-13
28169.0,28470.0,28036.0,28236.0,3529900,2021-10-14
28436.0,29171.0,28403.0,29070.0,8141800,2021-10-15
29237.0,29571.0,29137.0,29371.0,5380700,2021-10-18
29304.0,29538.0,28904.0,29304.0,1757300,2021-10-19
29705.0,29705.0,29104.0,29438.0,3448400,2021-10-20
29337.0,29671.0,29171.0,29171.0,3518900,2021-10-21
29204.0,29371.0,28770.0,28837.0,2608400,2021-10-22
28837.0,28970.0,28036.0,28036.0,3636400,2021-10-25
27969.0,28403.0,27836.0,28370.0,2109700,2021-10-26
28670.0,29037.0,28370.0,28904.0,1765600,2021-10-27
29037.0,29705.0,29037.0,29638.0,5366700,2021-10-28
29638.0,30005.0,29337.0,29938.0,4835600,2021-10-29
29938.0,29938.0,28637.0,28970.0,3171500,2021-11-01
29037.0,29504.0,28970.0,29237.0,4763800,2021-11-02
29237.0,29805.0,29171.0,29504.0,4896100,2021-11-03
29504.0,29538.0,29137.0,29204.0,2000700,2021-11-04
29438.0,29471.0,28837.0,29037.0,2881900,2021-11-05
29271.0,29404.0,29171.0,29237.0,4557700,2021-11-08
29371.0,29371.0,28837.0,28970.0,2345100,2021-11-09
28837.0,29371.0,28737.0,29371.0,1869200,2021-11-10
29371.0,29438.0,28570.0,28703.0,2416900,2021-11-11
28770.0,29237.0,28503.0,29037.0,1388100,2021-11-12
29504.0,29504.0,29037.0,29337.0,2505800,2021-11-15
29371.0,29504.0,29171.0,29171.0,2533500,2021-11-16
29371.0,29371.0,28837.0,28870.0,1572000,2021-11-17
28803.0,28904.0,28670.0,28670.0,2206300,2021-11-18
28637.0,29705.0,28603.0,29037.0,3155700,2021-11-19
29371.0,31040.0,29037.0,31040.0,10239600,2021-11-22
31707.0,32508.0,31040.0,32508.0,7755400,2021-11-23
32508.0,33276.0,31841.0,32775.0,7302100,2021-11-24
33042.0,33042.0,32141.0,32842.0,4304700,2021-11-25
32775.0,32842.0,31707.0,31707.0,3319200,2021-11-26
31040.0,32041.0,31040.0,31507.0,2410200,2021-11-29
31974.0,31974.0,29705.0,30105.0,6316500,2021-11-30
30038.0,32208.0,29905.0,32208.0,5480300,2021-12-01
32074.0,33309.0,32074.0,32308.0,5754000,2021-12-02
32642.0,32708.0,31373.0,31373.0,3624400,2021-12-03
31106.0,31907.0,30038.0,31373.0,4309000,2021-12-06
31640.0,32375.0,31073.0,31907.0,2257700,2021-12-07
32108.0,34110.0,32108.0,34110.0,9186000,2021-12-08
34110.0,34711.0,33643.0,34177.0,2544400,2021-12-09
34177.0,35712.0,33910.0,34711.0,8180500,2021-12-10
34711.0,34978.0,33376.0,33710.0,4682900,2021-12-13
33376.0,34244.0,33042.0,33710.0,2339500,2021-12-14
33776.0,35178.0,33309.0,34711.0,4599700,2021-12-15
35178.0,35178.0,34177.0,34177.0,4016000,2021-12-16
34310.0,34377.0,33643.0,34244.0,4365800,2021-12-17
35147.0,36048.0,34876.0,35868.0,8238900,2021-12-20
35597.0,35688.0,34696.0,34967.0,3634600,2021-12-21
34696.0,35597.0,34155.0,34246.0,5929700,2021-12-22
34246.0,34786.0,32173.0,33074.0,4598100,2021-12-23
32984.0,35372.0,32849.0,35372.0,7855000,2021-12-24
35688.0,37490.0,35327.0,36724.0,9038200,2021-12-27
36499.0,38031.0,36048.0,37895.0,8593600,2021-12-28
37895.0,38256.0,37084.0,37265.0,5365300,2021-12-29
37084.0,37310.0,36544.0,36724.0,3226200,2021-12-30
36949.0,38166.0,36949.0,36994.0,3726100,2021-12-31
37400.0,38977.0,37220.0,38526.0,11034900,2022-01-04
38301.0,38526.0,37760.0,37850.0,3828100,2022-01-05
37220.0,38752.0,37220.0,37850.0,5190400,2022-01-06
37715.0,38211.0,36949.0,36949.0,4150700,2022-01-07
36949.0,37805.0,36454.0,36454.0,4219100,2022-01-10
36408.0,37400.0,36048.0,36228.0,4830300,2022-01-11
36228.0,38752.0,36048.0,38752.0,18620300,2022-01-12
39022.0,39653.0,37941.0,37986.0,17622800,2022-01-13
37580.0,38346.0,37490.0,37760.0,5566400,2022-01-14
37490.0,38031.0,36228.0,36228.0,9068700,2022-01-17
35688.0,36273.0,34922.0,35057.0,9953400,2022-01-18
34786.0,36318.0,34786.0,35417.0,6653400,2022-01-19
35417.0,36363.0,35372.0,35688.0,7434600,2022-01-20
35733.0,36949.0,35733.0,36048.0,8225000,2022-01-21
36048.0,36499.0,33525.0,34020.0,6820100,2022-01-24
33975.0,36048.0,33975.0,35823.0,8957900,2022-01-25
36048.0,36544.0,35327.0,35327.0,10946400,2022-01-26
35507.0,36499.0,35327.0,36228.0,7264800,2022-01-27
36183.0,38121.0,36048.0,37805.0,15526500,2022-01-28
38121.0,38391.0,37220.0,37580.0,5806800,2022-02-07
37715.0,38211.0,37220.0,37850.0,5776900,2022-02-08
